,RMSE,n_factors,params,scores
0,1.211861943027688,25,"{'n_factors': 25, 'n_epochs': 10}",{'RMSE': 1.211861943027688}
1,1.2117287630967397,25,"{'n_factors': 25, 'n_epochs': 20}",{'RMSE': 1.2117287630967397}
2,1.2178920719748483,25,"{'n_factors': 25, 'n_epochs': 30}",{'RMSE': 1.2178920719748483}
3,1.2288650565333874,25,"{'n_factors': 25, 'n_epochs': 40}",{'RMSE': 1.2288650565333874}
4,1.2265061118815903,25,"{'n_factors': 25, 'n_epochs': 50}",{'RMSE': 1.2265061118815903}
5,1.2241997290446502,50,"{'n_factors': 50, 'n_epochs': 10}",{'RMSE': 1.2241997290446502}
6,1.2182907689814901,50,"{'n_factors': 50, 'n_epochs': 20}",{'RMSE': 1.2182907689814901}
7,1.2293438020221548,50,"{'n_factors': 50, 'n_epochs': 30}",{'RMSE': 1.2293438020221548}
8,1.2268387831917202,50,"{'n_factors': 50, 'n_epochs': 40}",{'RMSE': 1.2268387831917202}
9,1.2250473306359655,50,"{'n_factors': 50, 'n_epochs': 50}",{'RMSE': 1.2250473306359655}
10,1.2271757468483908,100,"{'n_factors': 100, 'n_epochs': 10}",{'RMSE': 1.2271757468483908}
11,1.2279419130671454,100,"{'n_factors': 100, 'n_epochs': 20}",{'RMSE': 1.2279419130671454}
12,1.2356224123172008,100,"{'n_factors': 100, 'n_epochs': 30}",{'RMSE': 1.2356224123172008}
13,1.2310789902464396,100,"{'n_factors': 100, 'n_epochs': 40}",{'RMSE': 1.2310789902464396}
14,1.2336971378049324,100,"{'n_factors': 100, 'n_epochs': 50}",{'RMSE': 1.2336971378049324}
15,1.2408362461581977,250,"{'n_factors': 250, 'n_epochs': 10}",{'RMSE': 1.2408362461581977}
16,1.2497448729378564,250,"{'n_factors': 250, 'n_epochs': 20}",{'RMSE': 1.2497448729378564}
17,1.2423651138949907,250,"{'n_factors': 250, 'n_epochs': 30}",{'RMSE': 1.2423651138949907}
18,1.2499250026399156,250,"{'n_factors': 250, 'n_epochs': 40}",{'RMSE': 1.2499250026399156}
19,1.24656086527405,250,"{'n_factors': 250, 'n_epochs': 50}",{'RMSE': 1.2465608652740501}
